date,source,p_synthetic_raw,imoex,fair_value_A,fair_ext,dev_ext
2024-06-07,polymarket,0.155,3233.22,2845.5193449878443,2972.772540772133,0.08761096103243049
2024-06-10,polymarket,0.165,3180.94,2819.5488636995374,2956.5201117427277,0.07590676869266666
2024-06-11,polymarket,0.175,3171.1,2811.5539912467198,2951.574825777008,0.07437560867703952
2024-06-13,polymarket,0.175,3171.69,2806.1738810278093,2948.398459703505,0.07573316271469954
2024-06-14,polymarket,0.175,3215.91,2808.0363779240056,2950.0082629268886,0.09013592958864924
2024-06-17,polymarket,0.08,3183.68,2774.813279222481,2931.3776789364865,0.08606953749987256
2024-06-18,polymarket,0.08,3114.15,2763.911846871332,2924.7473926910325,0.06475862078970862
2024-06-19,polymarket,0.11,3027.47,2756.3127726980765,2919.727804890652,0.036901451884958414
2024-06-20,polymarket,0.1,3123.43,2733.2082834754165,2905.691846862756,0.07493504632032244
2024-06-21,polymarket,0.105,3114.35,2728.4880512784525,2903.0725796653614,0.07277717471293554
2024-06-24,polymarket,0.1,3098.05,2732.7102265960475,2906.427990541042,0.0659304170213717
2024-06-25,polymarket,0.1,3111.39,2740.808705700842,2912.0022603438324,0.0684710112940039
2024-06-26,polymarket,0.1,3151.7,2764.0679857062687,2927.2911280399435,0.07666093399815543
2024-06-27,polymarket,0.105,3150.32,2757.25892835318,2923.350657799116,0.07764013584732288
2024-06-28,polymarket,0.1,3154.36,2753.6403884861884,2921.636848252031,0.07965505770753256
2024-07-01,polymarket,0.1,3186.19,2758.896076952884,2925.5473646286864,0.08909192123245435
2024-07-02,polymarket,0.1,3217.29,2755.746625923992,2923.937305765303,0.1003279699794779
2024-07-03,polymarket,0.095,3203.07,2751.452586586447,2921.724886361317,0.09629418394319345
2024-07-04,polymarket,0.11,3133.81,2736.045924077592,2911.951815866486,0.07618882391001969
2024-07-05,polymarket,0.09,3149.29,2727.2930317904197,2907.2698614008896,0.08324653373680668
2024-07-08,polymarket,0.085,3132.58,2718.0228821325777,2902.029895500432,0.07944442779760252
2024-07-09,polymarket,0.075,3054.07,2706.3137786670286,2895.4017883174,0.05480006689324002
2024-07-10,polymarket,0.055,2975.75,2696.493315810077,2890.0269352263954,0.02966168367800681
2024-07-11,polymarket,0.06,2992.21,2699.00133108379,2892.2078797673043,0.03457639436372095
2024-07-12,polymarket,0.075,2973.21,2685.2466296429466,2883.5333686692265,0.031099564272481395
2024-07-15,polymarket,0.065,2913.48,2655.160612432901,2864.6898957116828,0.017031548287775866
2024-07-16,polymarket,0.06,2944.86,2624.4616540106185,2845.428653588005,0.034944241630031625
2024-07-17,polymarket,0.09,2947.24,2625.239602210188,2846.102219476743,0.03553554044234253
2024-07-18,polymarket,0.08,2980.62,2640.517867383629,2856.721332137876,0.04337093242812107
2024-07-19,polymarket,0.075,3008.24,2641.61959564974,2858.0871032009645,0.05253615141080514
